name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,483,213467183,,-76.4929271,42.4660986,,,,,
,484,213467197,,-76.4935660,42.4661590,,,,,
,485,213437126,,-76.4794850,42.4411168,,,,,
,486,213467242,,-76.4794638,42.4405404,,,,,
,487,213467296,,-76.4906710,42.4785430,,,,,
,488,213467298,,-76.4906460,42.4795816,,,,,
,489,213467250,,-76.4929718,42.4769757,,,,,
,490,1234923898,,-76.4819513,42.4513458,,,,,
,491,213441844,signal,-76.4820788,42.4512980,,,,,
,492,6342326019,,-76.4771472,42.4567178,,,,,
,493,213467710,,-76.4750477,42.4567506,,,,,
,494,213449630,,-76.4741523,42.4568390,,,,,
,495,213467801,,-76.5004360,42.4809820,,,,,
,496,213467818,,-76.4998089,42.4801443,,,,,
,497,213467860,,-76.4996902,42.4216416,,,,,
,498,213443724,,-76.5010150,42.4218260,,,,,
,499,213443721,,-76.5010550,42.4217040,,,,,
,500,213467870,,-76.4997312,42.4214246,,,,,
,501,213468041,,-76.5252806,42.4357068,,,,,
,502,213468035,,-76.5252130,42.4362670,,,,,
,503,213468188,,-76.4972813,42.4607719,,,,,
,504,12522698535,,-76.4980604,42.4622088,,,,,
,505,213468202,,-76.4981441,42.4623678,,,,,
,506,213468131,,-76.4971820,42.4563230,,,,,
,507,1240450316,,-76.4970271,42.4574604,,,,,
,508,213432696,,-76.5159684,42.4363454,,,,,
,509,213468791,,-76.5178954,42.4332693,,,,,
,510,213468801,,-76.4921240,42.4666460,,,,,
,511,213468812,,-76.4924300,42.4667910,,,,,
,512,213468853,,-76.4955590,42.4695600,,,,,
,513,213468869,,-76.4925020,42.4665690,,,,,
,514,4723135128,,-76.4505853,42.4792312,,,,,
,515,213469024,,-76.4430660,42.4504971,,,,,
,516,213469063,,-76.4443470,42.4517460,,,,,
,517,213469227,,-76.4813613,42.4049037,,,,,
,518,213469268,,-76.4826730,42.4078000,,,,,
,519,2982081690,,-76.4501976,42.4706745,,,,,
,520,213469536,,-76.4470560,42.4709750,,,,,
,521,213441419,,-76.4841524,42.4664545,,,,,
,522,213469546,,-76.4842998,42.4664524,,,,,
,523,213469627,,-76.4998260,42.4534420,,,,,
